Id,Label,timeset,modularity_class,pageranks,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
1346834668289544193,1346834668289544193,,12,0.015614,0.973659,3,0.833333,0.919048,3.718466
1346834668725923842,1346834668725923842,,21,0.25,1,1,1,1,0
1346834669052907520,1346834669052907520,,12,0.015614,0.973659,3,0.833333,0.919048,3.718466
1346834669237534720,1346834669237534720,,12,0.015614,0.973659,3,0.833333,0.919048,3.718466
1346834669816303616,1346834669816303616,,12,0.015614,0.973659,3,0.833333,0.919048,3.718466
1346834700451516416,1346834700451516416,,19,0.014649,1,2,0.952941,0.975309,17.979458
1346834707577786368,1346834707577786368,,23,0.023653,0.848796,5,0.477064,0.667949,118.499814
1346834712891977730,1346834712891977730,,1,0,0,0,0,0,0
1346834716054466560,1346834716054466560,,7,0,0,0,0,0,0
1346834730646466561,1346834730646466561,,19,0.013174,0.942013,2,0.870968,0.925926,5.237808
1346834734727524353,1346834734727524353,,15,0.015385,1,1,1,1,0
1346834739207032833,1346834739207032833,,20,0.022484,0.32,3,0.478723,0.603704,16.333333
1346834750212890626,1346834750212890626,,19,0.013819,0.942682,2,0.9,0.944444,14.620046
1346834759079571456,1346834759079571456,,7,0,0,0,0,0,0
1346834777446383617,1346834777446383617,,22,0.088245,0.886751,2,0.833333,0.9,0
1346834781804392451,1346834781804392451,,15,0.015385,1,1,1,1,0
1346834788263600130,1346834788263600130,,23,0.025965,0.865324,6,0.422764,0.677564,63.307604
1346834796652224515,1346834796652224515,,19,0.014649,1,2,0.952941,0.975309,17.979458
1346834803623161857,1346834803623161857,,12,0.013483,0.852786,3,0.744681,0.852381,0
1346834805221154821,1346834805221154821,,7,0,0,0,0,0,0
1346834814297645056,1346834814297645056,,6,0.02662,0.858854,2,0.833333,0.9,13.909091
1346834815568343040,1346834815568343040,,24,0.25,1,1,1,1,0
1346834824884060161,1346834824884060161,,23,0.018883,0.011911,7,0.211382,0.312088,0
1346834834136690688,1346834834136690688,,23,0.013848,0.254708,7,0.333333,0.500641,3.122078
1346834842315493377,1346834842315493377,,13,0.018784,0.390728,4,0.571429,0.66369,0
1346834850049908741,1346834850049908741,,1,0,0,0,0,0,0
1346834856530083840,1346834856530083840,,15,0.015385,1,1,1,1,0
1346834856530112513,1346834856530112513,,15,0.015385,1,1,1,1,0
1346834860686548992,1346834860686548992,,8,0.035714,1,1,1,1,0
1346834878621507585,1346834878621507585,,8,0.035714,1,1,1,1,0
1346834893632905219,1346834893632905219,,19,0.014671,0.995536,2,0.952941,0.975309,19.330618
1346834903493529601,1346834903493529601,,8,0.035714,1,1,1,1,0
1346834908942110721,1346834908942110721,,7,0,0,0,0,0,0
1346834917691420673,1346834917691420673,,12,0.015107,0.952752,3,0.813953,0.904762,1.928467
1346834918194769922,1346834918194769922,,19,0.012129,0.882863,2,0.818182,0.888889,1.474956
1346834919033602050,1346834919033602050,,19,0.01485,0.989128,2,0.952941,0.975309,33.937401
1346834933575086082,1346834933575086082,,8,0.035714,1,1,1,1,0
1346834936318201856,1346834936318201856,,12,0.017321,1,2,0.933333,0.964286,32.799304
1346834940676096002,1346834940676096002,,1,0,0,0,0,0,0
1346834949404565508,1346834949404565508,,1,0,0,0,0,0,0
1346834953737273347,1346834953737273347,,10,0.058824,1,1,1,1,0
1346834960309772290,1346834960309772290,,22,0.061144,0.534042,2,0.666667,0.75,0
1346834964516544516,1346834964516544516,,20,0.031399,1,3,0.652174,0.777778,81.833333
1346834965053534209,1346834965053534209,,7,0,0,0,0,0,0
1346834970770243584,1346834970770243584,,7,0,0,0,0,0,0
1346834974910140417,1346834974910140417,,0,0.166667,1,1,1,1,0
1346834984292724738,1346834984292724738,,7,0,0,0,0,0,0
1346834985559404544,1346834985559404544,,23,0.010139,0.166621,7,0.311377,0.449679,0
1346834985584570369,1346834985584570369,,19,0.014649,1,2,0.952941,0.975309,17.979458
1346834993964863490,1346834993964863490,,1,0,0,0,0,0,0
1346834996879888384,1346834996879888384,,19,0.008234,0.479889,3,0.637795,0.728395,1.735599
1346834997471137792,1346834997471137792,,8,0.035714,1,1,1,1,0
1346835008955277318,1346835008955277318,,19,0.007508,0.417797,3,0.609023,0.695473,3.818182
1346835016580538368,1346835016580538368,,7,0,0,0,0,0,0
1346835033118572544,1346835033118572544,,8,0.035714,1,1,1,1,0
1346835036000153600,1346835036000153600,,2,0.026161,0.284262,2,0.59375,0.657895,0
1346835037656735744,1346835037656735744,,1,0,0,0,0,0,0
1346835040043319299,1346835040043319299,,23,0.009768,0.202743,7,0.325,0.462179,0
1346835044824883200,1346835044824883200,,1,0,0,0,0,0,0
1346835046850646017,1346835046850646017,,12,0.015614,0.973659,3,0.833333,0.919048,3.718466
1346835048008359937,1346835048008359937,,12,0.015614,0.973659,3,0.833333,0.919048,3.718466
1346835049199534080,1346835049199534080,,12,0.015614,0.973659,3,0.833333,0.919048,3.718466
1346835051070312449,1346835051070312449,,6,0.015742,0.463633,2,0.633803,0.711111,0
1346835053645500424,1346835053645500424,,15,0.015385,1,1,1,1,0
1346835066593267713,1346835066593267713,,8,0.035714,1,1,1,1,0
1346835077192241153,1346835077192241153,,19,0.012838,0.918645,2,0.852632,0.91358,4.192827
1346835081181085701,1346835081181085701,,1,0,0,0,0,0,0
1346835085404864513,1346835085404864513,,6,0.016249,0.501157,2,0.642857,0.722222,0
1346835094946918401,1346835094946918401,,15,0.015385,1,1,1,1,0
1346835096138117127,1346835096138117127,,23,0.011984,0.009823,7,0.26,0.329487,0
1346835099350945792,1346835099350945792,,15,0.015385,1,1,1,1,0
1346835103821955078,1346835103821955078,,8,0.035714,1,1,1,1,0
1346835105629822977,1346835105629822977,,15,0.015385,1,1,1,1,0
1346835139205103616,1346835139205103616,,8,0.035714,1,1,1,1,0
1346835153495097344,1346835153495097344,,20,0.015976,0.448511,4,0.441176,0.555556,0
1346835156942913537,1346835156942913537,,19,0.011867,0.836077,2,0.80198,0.876543,4.780771
1346835158469550087,1346835158469550087,,19,0.006474,0.366319,3,0.591241,0.666667,0.7
1346835160508092419,1346835160508092419,,7,0,0,0,0,0,0
1346835165520285696,1346835165520285696,,11,0.1,1,1,1,1,0
1346835170842845186,1346835170842845186,,12,0.013483,0.852786,3,0.744681,0.852381,0
1346835176467308545,1346835176467308545,,8,0.035714,1,1,1,1,0
1346835181760606208,1346835181760606208,,9,0.25,1,1,1,1,0
1346835183224426496,1346835183224426496,,1,0,0,0,0,0,0
1346835186814599169,1346835186814599169,,7,0,0,0,0,0,0
1346835191004860421,1346835191004860421,,23,0.022858,0.821867,4,0.490566,0.658654,120.333333
1346835193055817728,1346835193055817728,,21,0.25,1,1,1,1,0
1346835200819531777,1346835200819531777,,10,0.058824,1,1,1,1,0
1346835209296224259,1346835209296224259,,13,0.026604,0.667918,3,0.682927,0.779762,0
1346835211485663232,1346835211485663232,,7,0,0,0,0,0,0
1346835217315733504,1346835217315733504,,19,0.01184,0.783185,2,0.794118,0.87037,8.575712
1346835218112663554,1346835218112663554,,19,0.014671,0.995536,2,0.952941,0.975309,19.330618
1346835221816221698,1346835221816221698,,1,0,0,0,0,0,0
1346835225544806400,1346835225544806400,,8,0.035714,1,1,1,1,0
1346835226518036483,1346835226518036483,,23,0.022858,0.821867,4,0.490566,0.658654,120.333333
1346835231408594944,1346835231408594944,,23,0.02203,0.943865,5,0.481481,0.677564,10.850394
1346835252875034626,1346835252875034626,,6,0.032845,1,1,1,1,34.909091
1346835253487431683,1346835253487431683,,20,0.024613,0.286498,4,0.378151,0.555556,8.4
1346835254309515265,1346835254309515265,,23,0.024192,0.013876,6,0.258706,0.372115,157
